timestamp1,timestamp2,difference
1678995622163556000,1678995622164755000,1199000
1678995622163557000,1678995622164756000,1199000
1678995622163560000,1678995622164757000,1197000
1678995622163561000,1678995622164757000,1196000
1678995622163562000,1678995622164758000,1196000
1678995622163563000,1678995622164759000,1196000
1678995622163564000,1678995622164760000,1196000
1678995622163564000,1678995622164761000,1197000
1678995622163565000,1678995622164762000,1197000
1678995622163566000,1678995622164762000,1196000
1678995622163567000,1678995622164763000,1196000
1678995622163568000,1678995622164764000,1196000
1678995622163569000,1678995622164765000,1196000
1678995622163569000,1678995622164766000,1197000
1678995622163570000,1678995622164766000,1196000
1678995622163571000,1678995622164767000,1196000
1678995622163572000,1678995622164768000,1196000
1678995622163573000,1678995622164769000,1196000
1678995622163574000,1678995622164770000,1196000
1678995622163574000,1678995622164770000,1196000
1678995622163575000,1678995622164771000,1196000
1678995622163576000,1678995622164772000,1196000
1678995622163577000,1678995622164773000,1196000
1678995622163578000,1678995622164774000,1196000
1678995622163579000,1678995622164775000,1196000
1678995622163579000,1678995622164775000,1196000
1678995622163580000,1678995622164776000,1196000
1678995622163581000,1678995622164777000,1196000
1678995622163582000,1678995622164778000,1196000
1678995622163583000,1678995622164779000,1196000
1678995622163584000,1678995622164780000,1196000
1678995622163585000,1678995622164781000,1196000
1678995622163586000,1678995622164781000,1195000
1678995622163586000,1678995622164782000,1196000
1678995622163587000,1678995622164783000,1196000
1678995622163588000,1678995622164784000,1196000
1678995622163589000,1678995622164785000,1196000
1678995622163590000,1678995622164786000,1196000
1678995622163591000,1678995622164787000,1196000
1678995622163592000,1678995622164787000,1195000
1678995622163592000,1678995622164788000,1196000
1678995622163593000,1678995622164789000,1196000
1678995622163594000,1678995622164790000,1196000
1678995622163595000,1678995622164791000,1196000
1678995622163596000,1678995622164792000,1196000
1678995622163597000,1678995622164792000,1195000
1678995622163598000,1678995622164793000,1195000
1678995622163598000,1678995622164794000,1196000
1678995622163599000,1678995622164795000,1196000
1678995622163600000,1678995622164796000,1196000
1678995622163601000,1678995622164797000,1196000
1678995622163602000,1678995622164798000,1196000
1678995622163605000,1678995622164798000,1193000
1678995622163606000,1678995622164799000,1193000
1678995622163607000,1678995622164800000,1193000
1678995622163607000,1678995622164801000,1194000
1678995622163608000,1678995622164802000,1194000
1678995622163609000,1678995622164803000,1194000
1678995622163610000,1678995622164804000,1194000
1678995622163611000,1678995622164804000,1193000
1678995622163612000,1678995622164805000,1193000
1678995622163613000,1678995622164806000,1193000
1678995622163613000,1678995622164807000,1194000
1678995622163614000,1678995622164808000,1194000
1678995622163615000,1678995622164809000,1194000
1678995622163616000,1678995622164810000,1194000
1678995622163617000,1678995622164810000,1193000
1678995622163618000,1678995622164811000,1193000
1678995622163619000,1678995622164812000,1193000
1678995622163619000,1678995622164813000,1194000
1678995622163620000,1678995622164814000,1194000
1678995622163621000,1678995622164815000,1194000
1678995622163622000,1678995622164815000,1193000
1678995622163623000,1678995622164816000,1193000
1678995622163624000,1678995622164817000,1193000
1678995622163625000,1678995622164818000,1193000
1678995622163625000,1678995622164819000,1194000
1678995622163626000,1678995622164820000,1194000
1678995622163627000,1678995622164821000,1194000
